Player,Position,Age,Games,GS,MP,FG,FGA,FG_PCT,FG3,FG3A,FG3_PCT,FG2,FG2A,FG2_PCT,EFG_PCT,FT,FTA,FT_PCT,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Jeff Adrien,PF,25,8,0,63,7,16,.438,0,0,,7,16,.438,.438,7,12,.583,5,17,22,1,0,2,2,13,21
Arron Afflalo,SG,26,62,62,2086,329,699,.471,88,221,.398,241,478,.504,.534,197,247,.798,40,157,197,149,36,13,85,134,943
Blake Ahearn,PG,27,4,0,30,4,14,.286,2,9,.222,2,5,.400,.357,0,0,,0,2,2,1,0,0,5,4,10
Solomon Alabi,C,23,14,0,122,13,36,.361,0,0,,13,36,.361,.361,7,8,.875,15,32,47,3,2,9,5,11,33
Cole Aldrich,C,23,26,0,173,22,42,.524,0,0,,22,42,.524,.524,13,14,.929,13,35,48,3,8,16,9,22,57
LaMarcus Aldridge,PF,26,55,55,1994,483,943,.512,2,11,.182,481,932,.516,.513,223,274,.814,150,292,442,134,51,45,111,153,1191
Lavoy Allen,PF,22,41,15,624,79,167,.473,0,0,,79,167,.473,.473,11,14,.786,47,124,171,34,13,18,20,73,169
Ray Allen,SG,36,46,42,1565,226,493,.458,106,234,.453,120,259,.463,.566,97,106,.915,14,128,142,109,49,8,68,83,655
Tony Allen,SG,30,58,57,1525,210,448,.469,8,26,.308,202,422,.479,.478,140,175,.800,98,135,233,79,104,33,94,142,568
Morris Almond,SG,26,4,0,67,6,17,.353,1,3,.333,5,14,.357,.382,1,3,.333,1,7,8,2,7,0,1,6,14
Al-Farouq Aminu,SF,21,66,21,1477,150,365,.411,13,47,.277,137,318,.431,.429,86,114,.754,95,213,308,66,59,34,91,136,399
Lou Amundson,PF,29,60,0,753,89,207,.430,0,0,,89,207,.430,.430,35,82,.427,94,128,222,14,27,44,45,125,213
Chris Andersen,C,33,32,1,486,59,108,.546,0,0,,59,108,.546,.546,50,82,.610,48,100,148,6,19,46,17,52,168
Alan Anderson,SF,29,17,12,461,55,142,.387,24,61,.393,31,81,.383,.472,29,34,.853,8,26,34,26,5,3,25,35,163
James Anderson,SG,22,51,2,603,66,174,.379,19,68,.279,47,106,.443,.434,39,52,.750,16,63,79,41,8,2,30,35,190
Ryan Anderson,PF,23,61,61,1964,332,757,.439,166,422,.393,166,335,.496,.548,150,171,.877,224,247,471,54,50,26,57,146,980
Carmelo Anthony,SF,27,55,55,1876,441,1025,.430,68,203,.335,373,822,.454,.463,295,367,.804,88,256,344,200,62,24,144,156,1245
Joel Anthony,C,29,64,51,1349,85,152,.559,0,0,,85,152,.559,.559,49,71,.690,100,150,250,9,36,84,45,126,219
Gilbert Arenas,PG,30,17,0,211,26,64,.406,13,39,.333,13,25,.520,.508,7,10,.700,2,16,18,18,11,1,12,35,72
Trevor Ariza,SF,26,41,41,1350,168,403,.417,29,87,.333,139,316,.440,.453,79,102,.775,41,174,215,135,69,25,76,73,444
Ömer Aşık,C,25,66,2,971,79,156,.506,0,0,,79,156,.506,.506,47,103,.456,127,223,350,32,30,68,68,121,205
D.J. Augustin,PG,24,48,46,1408,183,487,.376,61,179,.341,122,308,.396,.438,105,120,.875,24,85,109,307,36,1,110,65,532
Gustavo Ayón,PF,26,54,24,1088,140,261,.536,0,1,.000,140,260,.538,.536,39,63,.619,86,179,265,74,53,46,46,118,319
Jeff Ayres,C,24,20,1,106,15,36,.417,0,0,,15,36,.417,.417,4,7,.571,12,21,33,4,3,2,2,16,34
Kelenna Azubuike,SG,28,3,0,18,3,8,.375,1,3,.333,2,5,.400,.438,0,0,,0,0,0,0,1,0,4,1,7
Luke Babbitt,SF,22,40,4,537,71,173,.410,43,100,.430,28,73,.384,.535,17,20,.850,16,79,95,16,10,4,27,46,202
Renaldo Balkman,SF,27,14,0,115,16,32,.500,2,9,.222,14,23,.609,.531,8,11,.727,6,20,26,5,4,3,6,14,42
Leandro Barbosa,SG,29,64,0,1382,271,637,.425,65,170,.382,206,467,.441,.476,101,124,.815,33,95,128,96,56,7,94,135,708
J.J. Barea,PG,27,41,11,1032,167,418,.400,53,143,.371,114,275,.415,.463,76,98,.776,14,100,114,232,21,0,103,61,463
Andrea Bargnani,C,26,31,31,1032,209,484,.432,34,115,.296,175,369,.474,.467,151,173,.873,24,148,172,61,18,15,69,52,603
Matt Barnes,SF,31,63,16,1440,175,387,.452,46,138,.333,129,249,.518,.512,95,128,.742,97,247,344,126,35,48,73,152,491
Earl Barron,C,30,2,0,9,2,4,.500,0,0,,2,4,.500,.500,0,0,,1,0,1,0,0,0,0,5,4
Brandon Bass,PF,26,59,39,1868,303,632,.479,0,0,,303,632,.479,.479,132,163,.810,95,270,365,55,34,54,65,135,738
Tony Battie,C,35,27,11,295,19,51,.373,0,1,.000,19,50,.380,.373,4,4,1.000,8,59,67,16,4,6,4,26,42
Shane Battier,SF,33,65,10,1499,113,292,.387,62,183,.339,51,109,.468,.493,23,37,.622,56,100,156,82,64,33,37,105,311
Nicolas Batum,SF,23,59,34,1791,289,641,.451,107,274,.391,182,367,.496,.534,133,159,.836,81,190,271,84,57,60,90,105,818
Jerryd Bayless,PG,23,31,11,705,117,276,.424,44,104,.423,73,172,.424,.504,75,88,.852,8,58,66,118,24,4,53,70,353
Michael Beasley,SF,23,47,7,1087,221,497,.445,38,101,.376,183,396,.462,.483,61,95,.642,39,168,207,45,18,19,80,83,541
Rodrigue Beaubois,PG,23,53,12,1151,188,445,.422,38,132,.288,150,313,.479,.465,58,69,.841,19,132,151,152,56,28,70,98,472
Marco Belinelli,SG,25,66,55,1966,286,686,.417,107,284,.377,179,402,.445,.495,101,129,.783,19,153,172,101,48,5,69,115,780
Raja Bell,SG,35,34,33,796,81,174,.466,34,87,.391,47,87,.540,.563,21,25,.840,6,43,49,38,13,2,21,78,217
Keith Benson,C,23,3,0,9,0,1,.000,0,0,,0,1,.000,.000,0,0,,2,1,3,0,0,0,0,0,0
Mike Bibby,PG,33,39,4,557,35,124,.282,27,85,.318,8,39,.205,.391,6,8,.750,5,54,59,80,21,3,20,45,103
Andris Biedriņš,C,25,47,35,739,39,64,.609,0,0,,39,64,.609,.609,1,9,.111,45,131,176,16,23,45,14,125,79
Chauncey Billups,SG,35,20,20,607,83,228,.364,48,125,.384,35,103,.340,.469,85,95,.895,4,46,50,80,9,3,38,40,299
Bismack Biyombo,C,19,63,41,1455,129,278,.464,0,0,,129,278,.464,.464,69,143,.483,113,255,368,27,20,115,71,145,327
DeJuan Blair,PF,22,64,62,1363,269,504,.534,0,1,.000,269,503,.535,.534,73,119,.613,154,197,351,78,59,12,92,168,611
Steve Blake,PG,31,53,5,1237,101,268,.377,53,158,.335,48,110,.436,.476,21,27,.778,9,76,85,175,39,2,72,75,276
Andray Blatche,PF,25,26,13,626,93,245,.380,2,7,.286,91,238,.382,.384,33,49,.673,42,108,150,28,20,17,37,54,221
Eric Bledsoe,PG,22,40,1,464,49,126,.389,6,30,.200,43,96,.448,.413,28,44,.636,22,43,65,66,31,14,47,58,132
Keith Bogans,SF,31,5,1,94,8,21,.381,3,12,.250,5,9,.556,.452,2,5,.400,5,6,11,3,2,0,3,15,21
Andrew Bogut,C,27,12,12,364,61,136,.449,0,1,.000,61,135,.452,.449,14,23,.609,22,78,100,31,12,24,24,36,136
Matt Bonner,PF,31,65,2,1326,154,350,.440,105,250,.420,49,100,.490,.590,16,21,.762,29,185,214,61,15,21,14,68,429
Trevor Booker,PF,24,50,32,1261,181,341,.531,1,2,.500,180,339,.531,.532,56,93,.602,119,206,325,40,48,43,58,138,419
Carlos Boozer,PF,30,66,66,1948,448,842,.532,0,1,.000,448,841,.533,.532,95,137,.693,114,450,564,125,63,24,115,168,991
Chris Bosh,PF,27,57,57,2007,393,807,.487,10,35,.286,383,772,.496,.493,229,279,.821,94,358,452,103,51,45,117,128,1025
Earl Boykins,PG,35,8,0,111,12,36,.333,2,9,.222,10,27,.370,.361,13,15,.867,0,11,11,17,1,0,7,5,39
Craig Brackins,PF,24,14,1,88,9,33,.273,3,9,.333,6,24,.250,.318,1,2,.500,5,10,15,8,0,1,4,6,22
Avery Bradley,PG,21,64,28,1368,200,402,.498,22,54,.407,178,348,.511,.525,62,78,.795,34,81,115,87,43,12,75,109,484
Elton Brand,C,32,60,60,1732,287,581,.494,0,1,.000,287,580,.495,.494,85,116,.733,145,284,429,97,58,97,65,176,659
Corey Brewer,SF,25,59,17,1287,201,463,.434,33,127,.260,168,336,.500,.470,90,130,.692,43,107,150,88,72,17,56,113,525
Ronnie Brewer,SG,26,66,43,1635,190,445,.427,19,69,.275,171,376,.455,.448,56,100,.560,72,159,231,137,72,21,59,64,455
Jon Brockman,PF,24,35,0,239,15,45,.333,0,1,.000,15,44,.341,.333,7,15,.467,33,42,75,9,4,1,10,33,37
MarShon Brooks,SG,23,56,47,1648,274,640,.428,47,150,.313,227,490,.463,.465,113,148,.764,70,130,200,131,52,15,118,116,708
Derrick Brown,SF,24,65,17,1443,212,409,.518,6,24,.250,206,385,.535,.526,94,141,.667,95,141,236,67,48,12,55,96,524
Kwame Brown,C,29,9,3,187,21,40,.525,0,0,,21,40,.525,.525,15,34,.441,16,41,57,4,8,0,14,21,57
Shannon Brown,SG,26,59,19,1400,251,598,.420,68,188,.362,183,410,.446,.477,80,99,.808,38,119,157,69,44,15,64,66,650
Kobe Bryant,SG,33,58,58,2232,574,1336,.430,87,287,.303,487,1049,.464,.462,381,451,.845,66,247,313,264,69,18,204,105,1616
Chase Budinger,SF,23,58,9,1298,208,471,.442,88,219,.402,120,252,.476,.535,54,70,.771,38,179,217,74,29,7,55,65,558
Alec Burks,SG,20,59,0,939,153,357,.429,15,45,.333,138,312,.442,.450,104,143,.727,57,75,132,55,27,5,51,84,425
Caron Butler,SF,31,63,63,1871,287,705,.407,92,257,.358,195,448,.435,.472,87,107,.813,44,186,230,78,52,9,77,123,753
Jimmy Butler,SG,22,42,0,359,32,79,.405,2,11,.182,30,68,.441,.418,43,56,.768,23,33,56,14,11,5,14,20,109
Rasual Butler,SF,32,34,14,453,41,133,.308,21,77,.273,20,56,.357,.387,7,12,.583,6,60,66,19,7,5,15,39,110
Derrick Byars,PF,27,2,0,37,3,11,.273,0,6,.000,3,5,.600,.273,4,4,1.000,6,5,11,1,2,0,0,2,10
Andrew Bynum,C,24,60,60,2112,444,796,.558,1,5,.200,443,791,.560,.558,234,338,.692,192,517,709,85,27,116,152,104,1123
Will Bynum,PG,29,36,0,514,74,194,.381,7,29,.241,67,165,.406,.399,49,64,.766,10,46,56,66,23,3,54,61,204
José Calderón,PG,30,53,53,1799,218,477,.457,59,159,.371,159,318,.500,.519,60,68,.882,19,141,160,468,47,3,104,94,555
Marcus Camby,C,37,59,53,1352,128,287,.446,2,5,.400,126,282,.447,.449,29,64,.453,157,373,530,107,50,85,57,126,287
Brian Cardinal,SF,34,44,0,277,14,55,.255,10,49,.204,4,6,.667,.345,5,6,.833,4,30,34,16,8,2,8,38,43
DeMarre Carroll,SF-PF,25,24,9,348,43,105,.410,7,19,.368,36,86,.419,.443,14,16,.875,28,25,53,18,12,1,11,37,107
Matt Carroll,SG,31,53,2,596,52,157,.331,8,43,.186,44,114,.386,.357,30,38,.789,8,50,58,38,16,7,24,52,142
Anthony Carter,PG,36,24,0,209,17,53,.321,5,17,.294,12,36,.333,.368,8,10,.800,5,28,33,34,8,4,17,20,47
Vince Carter,SG,35,61,40,1542,223,542,.411,74,205,.361,149,337,.442,.480,95,115,.826,32,173,205,139,56,25,84,134,615
Omri Casspi,SF,23,65,35,1341,166,412,.403,53,168,.315,113,244,.463,.467,74,108,.685,63,165,228,66,37,21,64,115,459
Mario Chalmers,PG,25,64,64,1825,223,498,.448,101,260,.388,122,238,.513,.549,80,101,.792,16,155,171,222,97,11,142,166,627
Tyson Chandler,C,29,62,62,2061,241,355,.679,0,2,.000,241,353,.683,.679,217,315,.689,212,400,612,56,56,89,102,186,699
Wilson Chandler,SF,24,8,6,215,31,79,.392,3,12,.250,28,67,.418,.411,10,12,.833,6,35,41,17,6,6,18,18,75
Josh Childress,SF,28,34,0,491,48,99,.485,4,24,.167,44,75,.587,.505,0,2,.000,31,64,95,34,14,6,9,38,100
Earl Clark,PF,24,45,1,559,51,139,.367,0,0,,51,139,.367,.367,21,29,.724,35,89,124,18,12,32,25,72,123
Norris Cole,PG,23,65,2,1260,177,450,.393,21,76,.276,156,374,.417,.417,66,85,.776,21,70,91,133,44,2,105,124,441
Jason Collins,C,33,30,10,308,16,40,.400,0,0,,16,40,.400,.400,7,15,.467,12,36,48,10,4,3,10,34,39
Darren Collison,PG,24,60,56,1878,230,523,.440,34,94,.362,196,429,.457,.472,127,153,.830,30,157,187,287,49,14,114,101,621
Nick Collison,PF,31,63,0,1307,120,201,.597,0,1,.000,120,200,.600,.597,44,62,.710,119,155,274,82,33,28,61,153,284
Mike Conley,PG,24,62,61,2174,296,684,.433,60,159,.377,236,525,.450,.477,136,158,.861,22,134,156,404,136,11,125,133,788
Brian Cook,PF,31,32,0,276,31,98,.316,10,50,.200,21,48,.438,.367,9,10,.900,10,53,63,10,6,5,11,48,81
Daequan Cook,SG,24,57,22,989,109,296,.368,79,228,.346,30,68,.441,.502,14,22,.636,12,110,122,15,22,11,16,69,311
DeMarcus Cousins,C,21,64,62,1950,448,999,.448,2,14,.143,446,985,.453,.449,262,373,.702,265,438,703,102,93,75,170,257,1160
Jamal Crawford,PG,31,60,6,1613,283,737,.384,80,260,.308,203,477,.426,.438,191,206,.927,16,102,118,191,55,14,111,74,837
Jordan Crawford,SG,23,64,32,1753,349,872,.400,79,273,.289,270,599,.451,.446,161,203,.793,44,124,168,190,59,5,141,111,938
Dante Cunningham,PF,24,64,5,1124,144,279,.516,0,2,.000,144,277,.520,.516,45,69,.652,91,155,246,37,42,34,29,98,333
Eddy Curry,C,29,14,1,83,12,26,.462,0,0,,12,26,.462,.462,6,8,.750,4,8,12,1,0,2,10,17,30
Stephen Curry,PG,23,26,23,732,145,296,.490,55,121,.455,90,175,.514,.583,38,47,.809,15,73,88,138,39,8,65,62,383
Samuel Dalembert,C,30,65,45,1446,200,395,.506,0,1,.000,200,394,.508,.506,90,113,.796,158,298,456,33,37,111,82,162,490
Erick Dampier,C,36,15,0,83,1,8,.125,0,0,,1,8,.125,.125,0,0,,10,15,25,4,1,4,3,9,2
